version,threads,schedule,n,tiempo_prom,tiempo_sd,speedup,eficiencia
secuencial,1,-,100000000,6.817774,0.2935981569696919,1.0,1.0
paralelo,1,static,100000000,6.510729666666666,0.07032546515547093,1.047159742310501,1.047159742310501
paralelo,2,static,100000000,3.833028666666667,0.10305758033901885,1.778691106406196,0.889345553203098
paralelo,4,static,100000000,2.147695,0.053214320281292644,3.174460991900619,0.7936152479751547
paralelo,8,static,100000000,1.6634736666666667,0.05980989283833679,4.098516337599573,0.5123145421999467
paralelo,16,static,100000000,1.577969,0.052927843362449524,4.320600721560436,0.27003754509752725
paralelo,1,dynamic,100000000,7.080253333333333,0.3414674908425886,0.9629279743286022,0.9629279743286022
paralelo,2,dynamic,100000000,3.795411333333333,0.05398845114775312,1.796320188044616,0.898160094022308
paralelo,4,dynamic,100000000,2.1887263333333333,0.05224129161241463,3.114950414845529,0.7787376037113822
paralelo,8,dynamic,100000000,1.5534903333333334,0.05519435360916305,4.388681315686762,0.5485851644608453
paralelo,16,dynamic,100000000,1.5101693333333335,0.03277524230777458,4.5145758488893515,0.28216099055558447
paralelo,1,guided,100000000,6.59954,0.243902382792789,1.033068062319495,1.033068062319495
paralelo,2,guided,100000000,3.7818596666666666,0.017605021594230923,1.8027570034107558,0.9013785017053779
paralelo,4,guided,100000000,2.23374,0.03831415823165117,3.0521788569842507,0.7630447142460627
paralelo,8,guided,100000000,1.7531996666666667,0.018829597561640384,3.8887607211120088,0.4860950901390011
paralelo,16,guided,100000000,1.6059543333333335,0.11559221380496759,4.245310005701698,0.2653318753563561
