version,threads,schedule,n,tiempo_prom,tiempo_sd,speedup,eficiencia
secuencial,1,-,200000000,3.689534666666667,0.13391477619117798,1.0,1.0
paralelo,1,static,200000000,3.858636,0.5100808349585388,0.9561758783846589,0.9561758783846589
paralelo,2,static,200000000,2.069794,0.05852904656664058,1.782561291928891,0.8912806459644455
paralelo,4,static,200000000,1.1110086666666668,0.12290035647764957,3.320887385816972,0.830221846454243
paralelo,8,static,200000000,0.7274886666666667,0.02868603723649073,5.0716043228164835,0.6339505403520604
paralelo,16,static,200000000,0.5480033333333334,0.04273381663663252,6.732686540836126,0.4207929088022579
paralelo,1,dynamic,200000000,4.766544666666666,0.604292564056793,0.7740480630483271,0.7740480630483271
paralelo,2,dynamic,200000000,2.4834846666666666,0.21384311469003003,1.4856281241384754,0.7428140620692377
paralelo,4,dynamic,200000000,1.2573256666666666,0.09817045663708272,2.934430406123898,0.7336076015309745
paralelo,8,dynamic,200000000,0.8110433333333333,0.05839406550612257,4.549121501933723,0.5686401877417154
paralelo,16,dynamic,200000000,0.6111566666666667,0.01975066303528401,6.036970334938668,0.37731064593366676
paralelo,1,guided,200000000,4.570021666666666,0.5612480776326395,0.8073341738350621,0.8073341738350621
paralelo,2,guided,200000000,1.8801203333333334,0.21587744060075706,1.9623928326573423,0.9811964163286712
paralelo,4,guided,200000000,1.065761,0.056541767101851374,3.4618781008750243,0.8654695252187561
paralelo,8,guided,200000000,0.673729,0.027447153641133686,5.476288933186291,0.6845361166482864
paralelo,16,guided,200000000,0.457323,0.01801227084517663,8.067677914005346,0.5042298696253341
